1/1    金币 3500

1/20    太阳水
1/20    太阳水
1/20    太阳水
1/20    太阳水
1/20    金创药(中量)
1/20    金创药(中量)
1/20    金创药(中量)
1/20    金创药(中量)
1/20    魔法药(中量)
1/20    魔法药(中量)
1/20    魔法药(中量)
1/20   魔法药(中量)

1/8   重盔甲(男)
1/8   重盔甲(女)
1/8   灵魂战衣(女)
1/8   灵魂战衣(男)
1/8   魔法长袍(男)
1/8   魔法长袍(女)

1/80   金戒指
1/80   蓝翡翠项链
1/80   金手镯
1/80   道德戒指
1/80   魅力戒指

1/2   道士手镯
1/2   黑檀手镯
1/2   降魔
1/2   黑色水晶戒指
1/2   蛇眼戒指
1/2   珍珠戒指
1/2   破魂

1/2   斩马刀
1/2   偃月
1/2   生铁戒指
1/2   白色虎齿项链
1/2   白金项链
1/2   骷髅戒指
1/2   小手镯

1/200  狂风戒指
1/200  夏普儿手镯
1/200  辟邪手镯
1/200  躲避手链
