1/1 	金币 400

1/8 	重盔甲(男)
1/8 	重盔甲(女)
1/8 	灵魂战衣(女)
1/8 	灵魂战衣(男)
1/8 	魔法长袍(男)
1/8 	魔法长袍(女)
1/8 	金戒指
1/8 	蓝翡翠项链
1/8 	金手镯
1/8 	道德戒指
1/8 	魅力戒指

1/500 	魔血戒指
1/500 	魔血项链
1/500 	魔血手镯
1/500 	虹魔戒指
1/500 	虹魔项链
1/500 	虹魔手镯

1/2 	道士手镯
1/2 	黑檀手镯
1/2 	降魔
1/2 	黑色水晶戒指
1/2 	蛇眼戒指
1/2 	珍珠戒指
1/2 	破魂
1/2 	斩马刀
1/2 	偃月
1/2 	生铁戒指
1/2 	白色虎齿项链
1/2 	白金项链
1/2 	骷髅戒指


1/1 	强效太阳水
1/1 	强效太阳水
1/1 	强效太阳水
1/1 	强效太阳水
1/1 	太阳水
1/1 	太阳水
1/1 	太阳水
1/1 	太阳水
1/1 	强效金创药
1/1 	强效金创药
1/1 	强效金创药
1/1 	强效金创药
1/1 	强效魔法药
1/1 	强效魔法药
1/1 	强效魔法药
1/1 	强效魔法药

1/200 	狂风戒指
1/200 	夏普儿手镯
1/200 	辟邪手镯
1/200 	躲避手链
