1/1   金币  500

1/24  强效金创药
1/40  强效魔法药
1/50  太阳水
1/200   万年雪霜

1/4800   放大镜

1/2400   竹笛
1/2400   道士头盔
1/2400   凝霜
1/4800   珊瑚戒指
1/2400   降妖除魔戒指

1/3600   骷髅头盔
1/3600   死神手套
1/3600   修罗

1/1200   重盔甲(男)
1/1200   重盔甲(女)
1/1200   灵魂战衣(女)
1/1200   灵魂战衣(男)
1/1200   魔法长袍(男)
1/1200   魔法长袍(女)
1/1200   金戒指
1/1200   蓝翡翠项链
1/1200   金手镯
1/1200   道德戒指
1/1200   魅力戒指

1/1200   道士手镯
1/1200   黑檀手镯
1/1200   降魔
1/1200   黑色水晶戒指
1/1200   蛇眼戒指
1/1200   珍珠戒指
1/1200   破魂
1/1200   斩马刀
1/1200   偃月
1/1200   生铁戒指
1/1200   白色虎齿项链
1/1200   白金项链
1/1200   骷髅戒指
1/1200   小手镯

1/500   八荒
1/500   半月
1/500   海魂
1/500   凌风
1/500   蓝色水晶戒指
1/500   魔鬼项链
1/500   琥珀项链
1/500   凤凰明珠
1/500   坚固手套
1/500   魔力手镯
1/500   灯笼项链
