;怪物名称0 背景编号0 背景偏移X150 背景偏移Y0 图像编号0 图像偏移24 图像偏移Y40 血条编号0 血条偏移X108 血条偏移Y49 显示等级(-1~255)-1 等级偏移X0 等级偏移Y0 怪物显名(-1~255)249 名字偏移X130 名字偏移Y26 显示血值(-1~255)-1 血值偏移X 血值偏移Y 显示血量百分比(-1~255) 百分比偏移X 百分比偏移Y 显示怪物归属(-1~255) 归属偏移X 归属偏移Y 水平对齐(0:左;1:中;2:右) 血管数量 血管数量偏移X 血管数量偏移Y
;1000血一管
红灵骷髅王【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 55 798 36
尸王之王【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 237 798 36
触龙神【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 762 798 36
猪皇【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 1617 798 36
沃玛教主【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 4740 798 36
祖玛教主【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 7119 798 36
黄泉教主【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 11172 798 36
恶魔之主【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 16047 798 36
铁甲蚁【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 34074 798 36
灵地守护者【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 47574 798 36
血腥魔神【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 64786 798 36
赤月邪魔【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 88929 798 36
嗜血黄泉【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 129577 798 36
巨斧牛魔【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 173533 798 36
金岩魔【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 230584 798 36
嗜血虹魔【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 329850 798 36
魔火龙【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 673074 798 36
地底石魔【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 882834 798 36
魔化血魔【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 1153284 798 36
火龙神【BOSS】 0 0 20 0 24 40 0 108 49 -1 0 0 249 130 26 -1 150 51 -1 200 51 -1 0 0 1 1499472 798 36
