;装备套装系列,装备名字,元宝,经验
沃玛祖玛系列,降妖除魔戒指,4,10000
沃玛祖玛系列,蓝翡翠项链,4,10000
沃玛祖玛系列,龙之戒指,4,10000
沃玛祖玛系列,骷髅头盔,4,10000
沃玛祖玛系列,珊瑚戒指,4,10000
沃玛祖玛系列,道士手镯,4,10000
沃玛祖玛系列,记忆项链,4,10000
沃玛祖玛系列,灯笼项链,4,10000
沃玛祖玛系列,三眼手镯,4,10000
沃玛祖玛系列,白色虎齿项链,4,10000
沃玛祖玛系列,战神盔甲(男),4,10000
沃玛祖玛系列,战神盔甲(女),4,10000
沃玛祖玛系列,恶魔长袍(男),4,10000
沃玛祖玛系列,恶魔长袍(女),4,10000
沃玛祖玛系列,幽灵战衣(男),4,10000
沃玛祖玛系列,幽灵战衣(女),4,10000
沃玛祖玛系列,灵魂战衣(男),4,10000
沃玛祖玛系列,灵魂战衣(女),4,10000
沃玛祖玛系列,竹笛,4,5000
沃玛祖玛系列,道士头盔,4,10000
沃玛祖玛系列,天珠项链,4,10000
沃玛祖玛系列,魔杖,4,10000
沃玛祖玛系列,血饮,4,10000
沃玛祖玛系列,炼狱,4,10000
沃玛祖玛系列,幽灵项链,4,10000
沃玛祖玛系列,银蛇,4,10000
沃玛祖玛系列,紫碧螺,2,10000
沃玛祖玛系列,骷髅头盔,4,10000
沃玛祖玛系列,铂金戒指,4,10000
沃玛祖玛系列,记忆头盔,4,10000
沃玛祖玛系列,红宝石戒指,4,10000
沃玛祖玛系列,生命项链,4,10000
沃玛祖玛系列,井中月,4,10000
沃玛祖玛系列,幽灵手套,4,10000
沃玛祖玛系列,无极棍,4,10000
沃玛祖玛系列,心灵手镯,4,10000
沃玛祖玛系列,死神手套,4,10000
沃玛祖玛系列,裁决之杖,10,10000
沃玛祖玛系列,骨玉权杖,10,10000
沃玛祖玛系列,龙纹剑,10,10000
沃玛祖玛系列,黑铁头盔,5,10000
沃玛祖玛系列,力量戒指,5,10000
沃玛祖玛系列,骑士手镯,5,10000
沃玛祖玛系列,绿色项链,5,10000
沃玛祖玛系列,灵魂项链,5,10000
沃玛祖玛系列,泰坦戒指,5,10000
沃玛祖玛系列,恶魔铃铛,5,10000
沃玛祖玛系列,龙之手镯,5,10000
沃玛祖玛系列,紫碧螺,4,10000
普通域类系列,藤域头盔,20,20000
普通域类系列,藤域项链,20,20000
普通域类系列,藤域手镯,20,20000
普通域类系列,藤域戒指,20,20000
普通域类系列,木域头盔,20,20000
普通域类系列,木域项链,20,20000
普通域类系列,木域手镯,20,20000
普通域类系列,木域戒指,20,20000
普通域类系列,神域头盔,20,20000
普通域类系列,神域项链,20,20000
普通域类系列,神域手镯,20,20000
普通域类系列,神域戒指,20,20000
普通域类系列,藤域腰带,20,20000
普通域类系列,藤域靴,20,20000
普通域类系列,木域腰带,20,20000
普通域类系列,木域靴,20,20000
普通域类系列,神域腰带,20,20000
普通域类系列,神域靴,20,20000
普通域类系列,蓝灵项链,20,10000
普通域类系列,祈福项链,20,10000
普通域类系列,银域戒指,20,10000
普通域类系列,银域手镯,20,10000
普通域类系列,银域项链,20,10000
普通域类系列,虹魔项链,20,10000
普通域类系列,虹魔手镯,20,10000
普通域类系列,虹魔戒指,20,10000
普通域类系列,魔血项链,20,10000
普通域类系列,魔血手镯,20,10000
普通域类系列,魔血戒指,20,10000
普通域类系列,麻痹戒指,20,10000
普通域类系列,复活戒指,20,10000
普通域类系列,护身戒指,20,10000
普通域类系列,金域令,20,10000
高级域类系列,宙迪头盔,400,30000
高级域类系列,铜域项链,400,30000
高级域类系列,铜域手镯,400,30000
高级域类系列,铜域戒指,400,30000
高级域类系列,勇士头盔,400,30000
高级域类系列,水域项链,400,30000
高级域类系列,水域手镯,400,30000
高级域类系列,水域戒指,400,30000
高级域类系列,道域头盔,400,30000
高级域类系列,土域项链,400,30000
高级域类系列,土域手镯,400,30000
高级域类系列,土域戒指,400,30000
高级域类系列,铜域腰带,400,50000
高级域类系列,铜域靴,400,50000
高级域类系列,水域腰带,400,50000
高级域类系列,水域靴,400,50000
高级域类系列,土域腰带,400,50000
高级域类系列,土域靴,400,50000
高级域类系列,赤血魔剑,5,10000
神域级类系列,神·宙迪头盔,500,60000
神域级类系列,神·宙迪头盔,500,60000
神域级类系列,神·铜域项链,500,60000
神域级类系列,神·铜域手镯,500,60000
神域级类系列,神·铜域戒指,500,60000
神域级类系列,神·铜域腰带,500,60000
神域级类系列,神·铜域靴,500,60000
神域级类系列,神·勇士头盔,500,60000
神域级类系列,神·水域项链,500,60000
神域级类系列,神·水域手镯,500,60000
神域级类系列,神·水域戒指,500,60000
神域级类系列,神·水域腰带,500,60000
神域级类系列,神·水域靴,500,60000
神域级类系列,神·道域头盔,500,60000
神域级类系列,神·土域项链,500,60000
神域级类系列,神·土域手镯,500,60000
神域级类系列,神·土域戒指,500,60000
神域级类系列,神·土域腰带,500,60000
神域级类系列,神·土域靴,500,60000
神域级类系列,神·绿玉屠龙,1000,60000
神域级类系列,神·恶魔权杖,1000,60000
神域级类系列,神·天尊之扇,1000,60000
神域级类系列,神·骑士战袍(男),1000,60000
神域级类系列,神·骑士战袍(女),1000,60000
神域级类系列,神·骑士魔袍(男),1000,60000
神域级类系列,神·骑士魔袍(女),1000,60000
神域级类系列,神·骑士道袍(男),1000,60000
神域级类系列,神·骑士道袍(女),1000,60000
