;地图	坐标X	坐标Y	怪物名字	范围	数量	0	集中刷新坐标机率	名字颜色(0~255)	内功怪物(0,1)	国家ID		
;=====================一大陆刷怪======================================						0						
MFDL	366	327	红蛇	400	50	6	0	180				
MFDL	366	327	虎蛇	400	50	6	0	180				
MFDL	366	327	羊	400	50	6	0	180				
MFDL	366	327	猎鹰	400	50	6	0	180				
MFDL	366	327	盔甲虫	400	50	6	0	180				
MFDL	366	327	威思而小虫	400	50	6	0	180				
MFDL	366	327	沙虫	400	50	6	0	180				
MFDL	366	327	多角虫	400	50	6	0	180				
MFDL	366	327	巨型多角虫	400	50	6	0	180				
MFDL	366	327	狼	400	50	6	0	180				
MFDL	366	327	多钩猫	400	50	6	0	180				
MFDL	366	327	钉耙猫	400	50	6	0	180				
MFDL	366	327	稻草人	400	50	6	0	180				
;骷髅洞						0						
D003	200	200	蛤蟆	400	1000	3	0	250				
D003	200	200	蝎子	400	1000	3	0	250				
D003	200	200	骷髅	400	1000	3	0	250				
D003	200	200	食人花	400	200	3	0	250				
D003	200	200	半兽人	400	1000	3	0	250				
D003	200	200	毒蜘蛛	400	1000	3	0	250				
D003	200	200	半兽战士	400	1000	3	0	250				
D003	200	200	山洞蝙蝠	400	1000	3	0	250				
D003	200	200	森林雪人	400	1000	3	0	250				
D003	200	200	掷斧骷髅	400	1000	3	0	250				
D003	200	200	骷髅战士	400	1000	3	0	250				
D003	200	200	骷髅战将	400	500	3	0	250				
D003	200	200	骷髅精灵	400	30	6	0	249				
D003	200	200	半兽勇士	400	30	6	0	249				
D003	200	200	半兽统领	400	30	6	0	254				
DM002	17	19	掷斧骷髅	20	50	3	0	250				
DM002	17	19	骷髅精灵	20	5	6	0	249				
DM002	17	19	半兽勇士	20	5	6	0	249				
DM002	17	19	半兽统领	20	5	6	0	254				
DM002	17	19	清风送礼[福利BOSS]1	1	1	12	0	253				
;废矿区						0						
H005	156	147	洞蛆	300	220	2	0	250				
H005	156	147	电僵尸	300	220	2	0	250				
H005	156	147	黑僵尸	300	220	2	0	250				
H005	156	147	袈裟僵尸	300	220	2	0	250				
H005	156	147	腐蚀僵尸	300	220	2	0	250				
H005	156	147	爬行僵尸	300	220	2	0	250				
H005	156	147	电僵王	300	5	3	0	70				
H005	156	147	尸王	300	5	3	0	70				
Q004	10	10	清风送礼[福利BOSS]1	1	1	12	0	253				
Q004	10	10	电僵王	50	20	3	0	70				
Q004	10	10	尸王	50	20	3	0	70				
;死亡山谷						0						
H004	96	96	蜈蚣	200	200	2	0	250				
H004	96	96	钳虫	200	200	2	0	250				
H004	96	96	角蝇	200	5	2	0	250				
H004	96	96	跳跳蜂	200	200	2	0	250				
H004	96	96	黑色恶蛆	200	200	2	0	250				
H004	96	96	巨型蠕虫	200	200	2	0	250				
H004	96	96	邪恶钳虫	200	30	3	0	254				
H004	96	96	触龙神	55	3	6	0	70				
H004	96	96	暗之触龙神	55	3	6	0	70				
N111	32	43	邪恶钳虫	30	30	3	0	254				
N111	32	43	触龙神	35	5	6	0	70				
N111	32	43	暗之触龙神	5	5	6	0	70				
N111	32	43	清风送礼[福利BOSS]1	1	1	12	0	253				
;沃玛寺庙						0						
H010	211	205	沃玛战士	400	200	2	0	250				
H010	211	205	沃玛勇士	400	200	2	0	250				
H010	211	205	沃玛战将	400	200	2	0	250				
H010	211	205	火焰沃玛	400	200	2	0	250				
H010	211	205	沃玛卫士	400	200	2	0	250				
H010	211	205	暗黑战士	400	200	2	0	250				
H010	211	205	粪虫	400	100	2	0	250				
H010	211	205	沃玛教主	400	3	3	0	70				
h003	50	50	暗黑战士	100	50	2	0	250				
h003	50	50	沃玛卫士	100	20	3	0	250				
h003	50	50	沃玛教主	50	10	6	0	70				
h003	50	50	清风送礼[福利BOSS]1	1	1	12	0	253				
;野猪古墓						0						
H102	209	205	楔蛾	400	120	2	0	250				
H102	209	205	红野猪	400	150	2	0	250				
H102	209	205	黑野猪	400	150	2	0	250				
H102	209	205	白野猪	400	100	2	0	250				
H102	209	205	蝎蛇	400	100	2	0	250				
H102	209	205	黑色恶蛆	400	100	2	0	250				
H102	209	205	邪恶毒蛇	400	10	3	0	250				
H102	209	205	石墓尸王	400	2	6	0	230				
H006	54	47	楔蛾	100	120	2	0	250				
H006	54	47	白野猪	100	30	2	0	250				
H006	54	47	邪恶毒蛇	100	10	3	0	250				
H006	54	47	石墓尸王	100	5	6	0	230				
H006	83	25	清风送礼[福利BOSS]1	1	1	12	0	253				
;纵横道						0						
D2010	171	168	楔蛾	300	10	2	0	250				
D2010	171	168	黑色恶蛆	300	10	2	0	250				
D2010	171	168	红野猪	300	10	2	0	250				
D2010	171	168	黑野猪	300	10	2	0	250				
D2010	171	168	白野猪	300	10	2	0	250				
D2010	171	168	虹魔猪卫	300	5	3	0	250				
D2010	171	168	虹魔蝎卫	300	5	3	0	250				
D2010	171	168	千年树妖	300	3	6	0	250				
D2010	171	168	虹魔教主	300	2	6	0	70				
;封魔殿						0						
D2077	201	202	楔蛾	400	20	2	0	250				
D2077	201	202	红野猪	400	20	2	0	250				
D2077	201	202	黑野猪	400	20	2	0	250				
D2077	201	202	白野猪	400	20	2	0	250				
D2077	201	202	黑色恶蛆	400	30	2	0	250				
D2077	201	202	虹魔猪卫	400	20	2	0	250				
