1/500	装备碎片


1/200	结晶
1/300	技能书页

#CHILD	1/5000	RANDOM
(
1/1	荒古圣剑
1/1	荒古圣甲
1/1	荒古圣袍
1/1	红莲之杖
1/1	红莲法甲
1/1	红莲法袍
1/1	太虚扇
1/1	太虚甲
1/1	太虚袍
)

#CHILD	1/3000	RANDOM
(
1/1	武神战刃
1/1	武神战甲
1/1	武神战袍
1/1	神罚之杖
1/1	神罚圣甲
1/1	神罚圣袍
1/1	玄机道剑
1/1	玄机道甲
1/1	玄机道袍
)

#CHILD	1/2000	RANDOM
(
1/1	荒古盔
1/1	荒古链
1/1	荒古章
1/1	荒古镯
1/1	荒古戒
1/1	荒古靴
1/1	荒古带
1/1	红莲盔
1/1	红莲链
1/1	红莲章
1/1	红莲镯
1/1	红莲戒
1/1	红莲靴
1/1	红莲带
1/1	太虚盔
1/1	太虚链
1/1	太虚章
1/1	太虚镯
1/1	太虚戒
1/1	太虚靴
1/1	太虚带
)

#CHILD	1/1800	RANDOM
(
1/1	武神盔
1/1	武神链
1/1	武神章
1/1	武神镯
1/1	武神戒
1/1	武神靴
1/1	武神带
1/1	神罚盔
1/1	神罚链
1/1	神罚章
1/1	神罚镯
1/1	神罚戒
1/1	神罚靴
1/1	神罚带
1/1	玄机盔
1/1	玄机链
1/1	玄机章
1/1	玄机镯
1/1	玄机戒
1/1	玄机靴
1/1	玄机带
)

#CHILD	1/1500	RANDOM
(
1/1	无双·战盔
1/1	无双·战链
1/1	无双·战镯
1/1	无双·战戒
1/1	无双·战带
1/1	无双·战靴
1/1	无双·魔盔
1/1	无双·魔链
1/1	无双·魔镯
1/1	无双·魔戒
1/1	无双·魔带
1/1	无双·魔靴
1/1	无双·道盔
1/1	无双·道链
1/1	无双·道镯
1/1	无双·道戒
1/1	无双·道带
1/1	无双·道靴
)

#CHILD	1/1000	RANDOM
(
1/1	火龙·战盔
1/1	火龙·战链
1/1	火龙·战镯
1/1	火龙·战戒
1/1	火龙·战带
1/1	火龙·战靴
1/1	火龙·魔盔
1/1	火龙·魔链
1/1	火龙·魔镯
1/1	火龙·魔戒
1/1	火龙·魔带
1/1	火龙·魔靴
1/1	火龙·道盔
1/1	火龙·道链
1/1	火龙·道镯
1/1	火龙·道戒
1/1	火龙·道带
1/1	火龙·道靴
)

#CHILD	1/800	RANDOM
(
1/1	霸者战盔
1/1	霸者战链
1/1	霸者战镯
1/1	霸者战戒
1/1	霸者战带
1/1	霸者战靴
1/1	龙渊魔杖
1/1	龙渊魔甲
1/1	龙渊魔袍
1/1	龙渊魔盔
1/1	龙渊魔链
1/1	龙渊魔镯
1/1	龙渊魔戒
1/1	龙渊魔带
1/1	龙渊魔靴
1/1	诛邪道剑
1/1	诛邪道甲
1/1	诛邪道袍
1/1	诛邪道盔
1/1	诛邪道链
1/1	诛邪道镯
1/1	诛邪道戒
1/1	诛邪道带
1/1	诛邪道靴
)

#CHILD	1/600	RANDOM
(
1/1	英雄の战盔
1/1	英雄の战链
1/1	英雄の战腕
1/1	英雄の战镯
1/1	英雄の战戒
1/1	英雄の战指
1/1	英雄の战带
1/1	英雄の战靴
1/1	英雄の魔盔
1/1	英雄の魔链
