;怪物名 忽视防御(0~100) 增加伤害(0~255) 伤害反弹(0~100) 物伤减少(0~100) 魔伤减少(0~100) 麻痹-几率-时间(0~1 0~10 0~10) 防麻痹(0~1) 防全毒(0~1) 防火墙(0~1) 防诱惑(0~1) 破复活(0~1) 破护身(0~1) 冰冻-几率-时间(0~1 0~10 0~10) 防冰冻(0-1) 蛛网-几率-时间(0~1 0~10 0~10) 防蛛网(0-1) 暴击抗性(0~1000) 攻击伤害抗性(0~1000)
月魔蜘蛛 100 10 0 0 0 1 9 2 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
『普通』月魔蜘蛛 100 10 0 0 0 1 9 2 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
『精英』月魔蜘蛛 100 10 0 0 0 1 9 2 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
『修罗』月魔蜘蛛 100 10 0 0 0 1 9 2 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
『魔化』月魔蜘蛛 100 10 0 0 0 1 9 2 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
『变异』月魔蜘蛛 100 10 0 0 0 1 9 2 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
『BOSS』月魔蜘蛛 100 10 0 0 0 1 9 2 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
幻月魔珠 100 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 5 3 0 0 0
封印魔蛛2 100 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
封印魔蛛3 100 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
封印魔蛛4 100 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
封印魔蛛5 100 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
封印魔蛛6 100 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
封印魔蛛7 100 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
封印魔蛛8 100 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
封印魔蛛9 100 10 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 3 0 0 0
金甲骷髅 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
金甲骷髅[战神] 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
金甲骷髅[武圣] 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
金甲骷髅[四级] 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
金甲骷髅[战狂] 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
金甲骷髅[武狂] 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
金甲骷髅[狂暴] 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
金甲骷髅[恐惧] 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
金甲骷髅[无视] 80 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
重生之骷髅王 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
神圣麒麟 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
神圣麒麟[四级] 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
神圣麒麟[魔化] 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
神圣麒麟[上古] 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
神圣麒麟[远古] 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
神圣麒麟[神圣] 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
神圣巨灵[上古] 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
神圣巨灵[洪荒] 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
神圣巨灵[太初] 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
远古骷髅王 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
太阴 50 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
